Company,Job Title,Location,Job Description,Work Type,Posting Date, Apply_Link
Kyndryl Holdings,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Part-Time,2022-03-25,https://www.idealist.org/en/jobs
Salesforce,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Temporary,2023-04-05,https://www.linkedin.com/
Raymond James Financial,Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Intern,2022-12-24,https://www.indeed.com/
United Services Automobile Assn.,Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Contract,2023-06-27,https://www.flexjobs.com/
J.M. Smucker,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Temporary,2023-03-22,https://www.idealist.org/en/jobs
Delek US Holdings,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Full-Time,2023-09-02,https://www.usajobs.gov/
Seaboard,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Contract,2023-09-03,https://www.flexjobs.com/
Bayer AG,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-06-21,https://www.indeed.com/
Grafton Group,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Full-Time,2023-06-29,https://www.jobs2careers.com/
GlaxoSmithKline,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Full-Time,2022-05-23,https://www.themuse.com/
Bank of America,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Contract,2022-11-08,https://www.idealist.org/en/jobs
Beacon Roofing Supply,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Part-Time,2023-01-08,https://www.idealist.org/en/jobs
